Change Component Footprint: Designator=C42 Old Footprint=c0402 New Footprint=C 0603_M
Change Component Footprint: Designator=C52 Old Footprint=c0402 New Footprint=C 0603_M
Change Physical Footprint: Designator=1 Old Footprint=OSC-3225-4P New Footprint=OSC-3225-4P
Change Physical Footprint: Designator=C1 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C2 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C3 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C4 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C5 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C6 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C7 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C8 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C9 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C10 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C11 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C12 Old Footprint=1210 New Footprint=1210
Change Physical Footprint: Designator=C13 Old Footprint=1210 New Footprint=1210
Change Physical Footprint: Designator=C14 Old Footprint=1210 New Footprint=1210
Change Physical Footprint: Designator=C15 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C16 Old Footprint=1210 New Footprint=1210
Change Physical Footprint: Designator=C17 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C18 Old Footprint=3216 New Footprint=3216
Change Physical Footprint: Designator=C19 Old Footprint=3216 New Footprint=3216
Change Physical Footprint: Designator=C20 Old Footprint=1210 New Footprint=1210
Change Physical Footprint: Designator=C21 Old Footprint=1210 New Footprint=1210
Change Physical Footprint: Designator=C23 Old Footprint=1210 New Footprint=1210
Change Physical Footprint: Designator=C24 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C25 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C32 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C33 Old Footprint=c0402 New Footprint=c0402
Change Physical Footprint: Designator=C34 Old Footprint=c0402 New Footprint=c0402
